country_name,region,catch,catch_ssf,catch_ssf_inland,catch_ssf_marine
Aruba,Americas,NA,NA,NA,NA
Afghanistan,Asia,0.00174,0.00174,0.00174,NA
Angola,Africa,0.4724762,0.152845699,0.0264126,0.126433099
Anguilla,Americas,NA,NA,NA,NA
Åland Islands,Europe,NA,NA,NA,NA
Albania,Europe,0.0083906,0.005024971,0.0017208,0.003304171
Andorra,Europe,NA,NA,NA,NA
United Arab Emirates,Asia,0.0730406,0.060629051,NA,0.060629051
Argentina,Americas,0.8316846,0.045826978,0.019732026,0.026094952
Armenia,Asia,0.0042312,0.0042312,0.0042312,NA
American Samoa,Oceania,NA,NA,NA,NA
Antarctica,NA,NA,NA,NA,NA
French Southern Territories,Africa,NA,NA,NA,NA
Antigua and Barbuda,Americas,0.0034428,0.002164128,NA,0.002164128
Australia,Oceania,0.1728294,0.199231116,0.0011046,0.198126516
Austria,Europe,3.5e-4,3.5e-4,3.5e-4,NA
Azerbaijan,Asia,7.936e-4,7.936e-4,7.936e-4,NA
Burundi,Africa,0.018042,0.018042,0.018042,NA
Belgium,Europe,0.025759,3.71545e-4,2.834e-4,8.81e-5
Benin,Africa,0.0454729,0.048915563,0.0290461,0.019869463
"Bonaire, Sint Eustatius and Saba",Americas,NA,NA,NA,NA
Burkina Faso,Africa,0.0217856,0.0217856,0.0217856,NA
Bangladesh,Asia,1.764547,1.72646638,1.14007356,0.58639282
Bulgaria,Europe,0.0088723,0.009089521,9.365e-5,0.008995871
Bahrain,Asia,0.015166,0.019675912,NA,0.019675912
Bahamas,Americas,0.0117916,0.00851773,NA,0.00851773
Bosnia and Herzegovina,Europe,3e-4,3e-4,3e-4,NA
Saint Barthélemy,Americas,NA,NA,NA,NA
Belarus,Europe,7.596e-4,7.596e-4,7.596e-4,NA
Belize,Americas,0.0842234,0.005180576,NA,0.005180576
Bermuda,Americas,NA,NA,NA,NA
Bolivia (Plurinational State of),Americas,0.0070322,0.0070322,0.0070322,NA
Brazil,Americas,0.8292848,0.578655148,0.27233855,0.306316598
Barbados,Americas,0.0026123,0.002612268,NA,0.002612268
Brunei Darussalam,Asia,0.0069076,0.003039332,NA,0.003039332
Bhutan,Asia,1.33e-5,1.33e-5,1.33e-5,NA
Bouvet Island,Americas,NA,NA,NA,NA
Botswana,Africa,3.512e-4,3.512e-4,3.512e-4,NA
Central African Republic,Africa,0.029,0.029,0.029,NA
Canada,Americas,0.8584387,0.147940763,0.0286134,0.119327363
Cocos (Keeling) Islands,Oceania,NA,NA,NA,NA
Channel Islands,Europe,NA,NA,NA,NA
Switzerland,Europe,0.0019592,0.0019592,0.0019592,NA
Chile,Americas,1.745241,0.895778988,NA,0.895778988
China,Asia,16.27108,8.725750317,2.2130276,6.512722717
Côte d'Ivoire,Africa,0.0860324,0.090429266,0.026112,0.064317266
Cameroon,Africa,0.2291854,0.091421005,0.0358584,0.055562605
Democratic Republic of the Congo,Africa,0.2439681,0.24396813,0.2293,0.01466813
Congo,Africa,0.0870032,0.059613056,0.042273334,0.017339722
Cook Islands,Oceania,0.004183,4.31e-4,5e-6,4.26e-4
Colombia,Americas,0.0807478,0.097968509,0.0203582,0.077610309
Comoros,Africa,0.0197778,0.005191536,NA,0.005191536
Cabo Verde,Africa,0.0310998,0.002379514,NA,0.002379514
Costa Rica,Americas,0.01508,0.021110963,5e-5,0.021060963
Cuba,Americas,0.0235484,0.006105091,0.0017838,0.004321291
Curaçao,Americas,NA,NA,NA,NA
Christmas Island,Oceania,NA,NA,NA,NA
Cayman Islands,Americas,NA,NA,NA,NA
Cyprus,Asia,0.0014378,0.001813572,2e-5,0.001793572
Czechia,Europe,0.0036956,0.0036956,0.0036956,NA
Germany,Europe,0.2518032,0.052625836,0.0185342,0.034091636
Djibouti,Africa,0.0020508,0.005024286,NA,0.005024286
Dominica,Americas,8.278e-4,0.001111421,NA,0.001111421
Denmark,Europe,0.7715077,0.008718838,1.264e-4,0.008592438
Dominican Republic,Americas,0.0138436,0.019819318,9.588e-4,0.018860518
Algeria,Africa,0.0998222,0.090372649,NA,0.090372649
Ecuador,Americas,0.6315558,0.104966031,1.392e-4,0.104826831
Egypt,Africa,0.3503857,0.27575079,0.2436454,0.03210539
Eritrea,Africa,0.0043,0.008573185,NA,0.008573185
Western Sahara,Africa,NA,NA,NA,NA
Spain,Europe,0.9291278,0.12357562,0.003,0.12057562
Estonia,Europe,0.073952,0.006431465,0.0029302,0.003501265
Ethiopia,Africa,0.048002,0.048002,0.048002,NA
Finland,Europe,0.1834414,0.043384517,0.0278274,0.015557117
Fiji,Oceania,0.047011,0.0318522,0.0048522,0.027
Falkland Islands (Malvinas),Americas,1e-6,1e-6,1e-6,NA
France,Europe,0.4955322,0.054278676,0.0011652,0.053113476
Faroe Islands,Europe,0.5771734,0.001592731,NA,0.001592731
Micronesia (Federated States of),Oceania,0.0694622,6.69411e-4,5e-6,6.64411e-4
Gabon,Africa,0.0289399,0.0219133,0.0017632,0.0201501
United Kingdom of Great Britain and Northern Ireland,Europe,0.7119992,0.050603991,9.9e-4,0.049613991
Georgia,Asia,0.0478382,5.64755e-4,2e-5,5.44755e-4
Guernsey,Europe,NA,NA,NA,NA
Ghana,Africa,0.3466565,0.303486364,0.093220084,0.21026628
Gibraltar,Europe,NA,NA,NA,NA
Guinea,Africa,0.2478292,0.183079798,0.0607915,0.122288298
Guadeloupe,Americas,NA,NA,NA,NA
Gambia,Africa,0.0587943,0.052324215,0.010385875,0.04193834
Guinea-Bissau,Africa,6.171e-4,6.17115e-4,1.5e-4,4.67115e-4
Equatorial Guinea,Africa,0.0064518,0.012299321,0.001,0.011299321
Greece,Europe,0.0689006,0.024382402,9.4e-4,0.023442402
Grenada,Americas,0.0026682,0.002656286,NA,0.002656286
Greenland,Americas,0.2840693,0.037390668,NA,0.037390668
Guatemala,Americas,0.0208638,0.034324373,0.00236,0.031964373
French Guiana,Americas,4.62e-5,4.62e-5,4.62e-5,NA
Guam,Oceania,NA,NA,NA,NA
Guyana,Americas,0.0417382,0.006694692,7.4e-4,0.005954692
"China, Hong Kong SAR",Asia,NA,NA,NA,NA
Heard Island and McDonald Islands,Oceania,NA,NA,NA,NA
Honduras,Americas,0.0104894,0.030878252,1e-4,0.030778252
Croatia,Europe,0.074641,0.01318097,4.126e-4,0.01276837
Haiti,Americas,0.0165,0.039060316,6e-4,0.038460316
Hungary,Europe,0.006104,0.00610395,0.00610395,NA
Indonesia,Asia,6.216701,1.942901128,0.408917195,1.533983933
Isle of Man,Europe,NA,NA,NA,NA
India,Asia,5.035216,1.886997266,1.3767191,0.510278166
Chagos Archipelago,Africa,NA,NA,NA,NA
Ireland,Europe,0.247086,0.009959892,8.02e-5,0.009879692
Iran (Islamic Republic of),Asia,0.6418576,0.59231222,0.07671222,0.5156
Iraq,Asia,0.0419338,0.045814817,0.0369432,0.008871617
Iceland,Europe,1.200786,0.00203207,1.828e-4,0.00184927
Israel,Asia,0.0019528,0.004364547,5.26e-4,0.003838547
Italy,Europe,0.1899634,0.050887079,0.0038,0.047087079
Jamaica,Americas,0.0173284,0.019408917,8.046e-4,0.018604317
Jersey,Europe,NA,NA,NA,NA
Jordan,Asia,8.504e-4,0.002787927,5.788e-4,0.002209127
Japan,Asia,3.420012,0.673168987,0.0294614,0.643707587
Kazakhstan,Asia,0.0369564,0.0369564,0.0369564,NA
Kenya,Africa,0.2002308,0.200023632,0.174212291,0.025811341
Kyrgyzstan,Asia,1.159e-4,1.1595e-4,1.1595e-4,NA
Cambodia,Asia,0.6337718,0.620588251,0.51175060000000006,0.108837651
Kiribati,Oceania,0.119367,0.019,NA,0.019
Saint Kitts and Nevis,Americas,0.0670966,4.098e-4,NA,4.098e-4
Republic of Korea,Asia,1.541128,0.353673635,0.008415,0.345258635
Kosovo (Serbia),Europe,NA,NA,NA,NA
Kuwait,Asia,0.0045176,0.01056847,NA,0.01056847
Lao People's Democratic Republic,Asia,0.1733253,0.17332527,0.17332527,NA
Lebanon,Asia,0.0035288,0.012136219,2.6e-5,0.012110219
Liberia,Africa,0.0162565,0.014591466,0.0013,0.013291466
Libya,Africa,0.0298,0.034268709,NA,0.034268709
Saint Lucia,Americas,0.0020422,0.001672634,NA,0.001672634
Liechtenstein,Europe,NA,NA,NA,NA
Sri Lanka,Asia,0.7600245,0.64190453,0.06707474,0.57482979
Lesotho,Africa,5.16e-5,5.16e-5,5.16e-5,NA
Lithuania,Europe,0.1045594,0.002777202,0.0012836,0.001493602
Luxembourg,Europe,NA,NA,NA,NA
Latvia,Europe,0.1098646,9.81483e-4,2.56e-4,7.25483e-4
"China, Macao",Asia,NA,NA,NA,NA
Saint Martin (French Part),Americas,NA,NA,NA,NA
Morocco,Africa,1.206874,0.098545388,0.0152068,0.083338588
Monaco,Europe,NA,NA,NA,NA
Republic of Moldova,Europe,5e-5,5e-5,5e-5,NA
Madagascar,Africa,0.1378838,0.10346224,0.03404818,0.069414061
Maldives,Asia,0.1459969,0.145996924,NA,0.145996924
Mexico,Americas,1.262973,0.511322402,0.080525616,0.430796787
Marshall Islands,Oceania,0.0768952,0.00258432,NA,0.00258432
North Macedonia,Europe,2.35e-4,2.35e-4,2.35e-4,NA
Mali,Africa,0.1048602,0.104860224,0.104860224,NA
Malta,Europe,0.0026098,6.62535e-4,NA,6.62535e-4
Myanmar,Asia,2.01757,1.315078012,0.865634,0.449444012
Montenegro,Europe,0.0014588,6.18621e-4,6.152e-4,3.42e-6
Mongolia,Asia,4.08e-5,4.08e-5,4.08e-5,NA
Northern Mariana Islands,Oceania,NA,NA,NA,NA
Mozambique,Africa,0.2920377,0.262978009,0.0746175,0.188360509
Mauritania,Africa,0.5148565,0.4356542,0.015,0.4206542
Montserrat,Americas,NA,NA,NA,NA
Martinique,Americas,NA,NA,NA,NA
Mauritius,Africa,0.0163124,0.014524955,NA,0.014524955
Malawi,Africa,0.1449691,0.142037294,0.142037294,NA
Malaysia,Asia,1.499148,0.20610702,0.005822,0.20028502
Mayotte,Africa,NA,NA,NA,NA
Namibia,Africa,0.4912978,0.004496572,0.0028,0.001696572
New Caledonia,Oceania,NA,NA,NA,NA
Niger,Africa,0.0357574,0.0357574,0.0357574,NA
Norfolk Island,Oceania,NA,NA,NA,NA
Nigeria,Africa,0.794774,0.7818386,0.3530606,0.428778
Nicaragua,Americas,0.0465597,0.027463236,6.447e-4,0.026818536
Niue,Oceania,3.8e-5,1.90679e-4,NA,1.90679e-4
Netherlands,Europe,0.3907422,0.013631556,0.0017766,0.011854956
Norway,Europe,2.291758,0.2797672,3.76e-4,0.2793912
Nepal,Asia,0.0214,0.0214,0.0214,NA
Nauru,Oceania,5.286e-4,0.001522933,NA,0.001522933
New Zealand,Oceania,0.433907,0.008002287,9.458e-4,0.007056487
Oman,Asia,0.2602746,0.041280483,NA,0.041280483
Pakistan,Asia,0.505506,0.70703554,0.1319902,0.57504534
Panama,Americas,0.1601382,0.03398404,4.786e-4,0.03350544
Pitcairn,Oceania,NA,NA,NA,NA
Peru,Americas,4.765527,1.36210604,0.047669788,1.314436252
Philippines,Asia,2.249331,1.204394466,0.19872168,1.005672786
Palau,Oceania,8.458e-4,0.00149216,NA,0.00149216
Papua New Guinea,Oceania,0.267797,0.099998327,0.0135,0.086498327
Poland,Europe,0.2111414,0.02938096,0.0184502,0.01093076
Puerto Rico,Americas,NA,NA,NA,NA
Democratic People's Republic of Korea,Asia,0.00514,0.00514,0.00514,NA
Portugal,Europe,0.1862204,0.011534792,1.6e-6,0.011533192
Paraguay,Americas,0.01468,0.014679998,0.014679998,NA
Palestine,Asia,NA,NA,NA,NA
French Polynesia,Oceania,5.3e-5,5.3e-5,5.3e-5,NA
Qatar,Asia,0.0146592,0.014381844,NA,0.014381844
Réunion,Africa,NA,NA,NA,NA
Romania,Europe,0.0096998,0.005155198,0.0046894,4.65798e-4
Russian Federation,Europe,4.540135,0.404458904,0.2730406,0.131418304
Rwanda,Africa,0.0253792,0.0253792,0.0253792,NA
Saudi Arabia,Asia,0.0689636,0.089346246,NA,0.089346246
Sudan,Africa,0.034818,0.095043894,0.031907,0.063136894
Senegal,Africa,0.5845143,0.518090034,0.031617,0.486473034
Singapore,Asia,0.0013374,0.015729522,NA,0.015729522
South Georgia and the South Sandwich Islands,Americas,NA,NA,NA,NA
Saint Helena,Africa,NA,NA,NA,NA
Svalbard and Jan Mayen Islands,Europe,NA,NA,NA,NA
Solomon Islands,Oceania,0.0611532,0.024424345,NA,0.024424345
Sierra Leone,Africa,0.4085031,0.304829584,0.0022838,0.302545784
El Salvador,Americas,0.054148,0.020602774,0.0010334,0.019569374
San Marino,Europe,NA,NA,NA,NA
Somalia,Africa,0.03,0.0108871,2e-4,0.0106871
Saint Pierre and Miquelon,Americas,NA,NA,NA,NA
Serbia,Europe,0.0032118,0.0032118,0.0032118,NA
South Sudan,Africa,0.0358,0.0358,0.0358,NA
Sao Tome and Principe,Africa,0.0105336,0.001165469,NA,0.001165469
Suriname,Americas,0.043299,0.007107292,7.75e-4,0.006332292
Slovakia,Europe,0.0019274,0.0019274,0.0019274,NA
Slovenia,Europe,3.486e-4,0.001940824,1.462e-4,0.001794624
Sweden,Europe,0.2033358,0.021359317,0.0090518,0.012307517
Eswatini,Africa,6.4e-5,6.4e-5,6.4e-5,NA
Sint Maarten (Dutch part),Americas,NA,NA,NA,NA
Seychelles,Africa,0.0827061,0.0035394,NA,0.0035394
Syrian Arab Republic,Asia,0.004433,0.021217784,0.00256,0.018657784
Turks and Caicos Islands,Americas,NA,NA,NA,NA
Chad,Africa,0.111409,0.111409,0.111409,NA
Togo,Africa,0.0240334,0.015350697,0.0054582,0.009892497
Thailand,Asia,1.818205,0.603956716,0.212334916,0.3916218
Tajikistan,Asia,0.0011458,0.0011458,0.0011458,NA
Tokelau,Oceania,NA,NA,NA,NA
Turkmenistan,Asia,0.015,0.015,0.015,NA
Timor-Leste,Asia,0.003199,0.030430935,NA,0.030430935
Tonga,Oceania,0.0089546,0.008366306,NA,0.008366306
Trinidad and Tobago,Americas,0.0129412,0.014048918,NA,0.014048918
Tunisia,Africa,0.1122536,0.050537721,4.402e-4,0.050097521
Turkey,Asia,0.3533975,0.042232178,0.0291326,0.013099578
Tuvalu,Oceania,0.007556,0.001437,2e-6,0.001435
"Taiwan, Province of China",Asia,0.8970355,0.167195103,5.901e-4,0.166605003
United Republic of Tanzania,Africa,0.4138096,0.413809548,0.351109784,0.062699764
Uganda,Africa,0.4510067,0.45100675,0.45100675,NA
Ukraine,Europe,0.1273891,0.02828981,0.02378435,0.00450546
United States Minor Outlying Islands,Oceania,NA,NA,NA,NA
Uruguay,Americas,0.0601486,0.012718167,0.00364955,0.009068617
United States of America,Americas,5.161101,1.267379482,0.0221016,1.245277882
Uzbekistan,Asia,0.0224918,0.0224918,0.0224918,NA
Holy See,Europe,NA,NA,NA,NA
Saint Vincent and the Grenadines,Americas,0.0405572,7.72206e-4,NA,7.72206e-4
Venezuela (Bolivarian Republic of),Americas,0.245318,0.18912929,0.03397805,0.15515124
British Virgin Islands,Americas,NA,NA,NA,NA
United States Virgin Islands,Americas,NA,NA,NA,NA
Viet Nam,Asia,3.186599,1.16724311,0.1564798,1.01076331
Vanuatu,Oceania,0.069882,0.003986,8e-5,0.003906
Wallis and Futuna Islands,Oceania,NA,NA,NA,NA
Samoa,Oceania,0.0117586,0.01001,1e-5,0.01
Sark,Europe,NA,NA,NA,NA
Yemen,Asia,0.1804768,0.062098912,NA,0.062098912
South Africa,Africa,0.4197052,0.026821624,0.002342444,0.02447918
Zambia,Africa,0.10368,0.094389626,0.094389626,NA
Zimbabwe,Africa,0.0149322,0.0149322,0.0149322,NA
